"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","Lento Govi","","","2022-06-20","","10016.400390625","","","","","1.00200355052948","2.77699995040894","","158","","157","177","","","0.762305881025484","64.5","16","30","12","2","0","0","0","","","","","","","","","","","","","","2","7"
"Running","Run","","","","2022-06-21","","3511.92993164063","","","","","0.33599665760994","2.90300011634827","","159","","153","162","","","0.763336836381392","21.11","11","9","0","0","0","0","0","","","","","","","","","","","","","","","9"
"Running","Run","12 x 400 Tema 1:32 Rec. 90"" p-c-p","","","2022-06-22","","13025.9599609375","","","","","1.19423186779022","3.02999997138977","","146","","170","194","","","0.813528230652104","87.94","10","13","14","19","10","5","0","","","","","","","","","","","","","","5","5"
"Running","Run","8k Medio Govi","","","2022-06-23","","10104.6103515625","","",""," *04/07/2022 Giulio Debarbieri: Gambe girano, forse ho trovato l'integrazione giusta per i 30 gradi. Comunque esco affaticato dall'allenamento. Mi sono divertito :)*","0.89915668964386","3.12199997901917","","160","","169","185","","","0.858774716310153","73.24","7","3","12","30","1","0","0","","","","","","","","","","","","","","4","5"
"Strength","Strength","Circuito M.","","","2022-06-24","","0","","","","","0.743664741516113","0","","","","114","159","","","0.586308105714166","28.11","44","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","8k Lento Panoramica post palestra","","","2022-06-24","","8007.009765625","","","","","0.811947226524353","2.73900008201599","","166","","151","168","","","0.739560192030839","48.92","30","17","2","0","0","0","0","","","","","","","","","","","","","","2","5"
"Trail Running","Run","","","","2022-06-26","","22176.810546875","","",""," *04/07/2022 Giulio Debarbieri: Muscolarmente sono indietrissimo.*","3.33079719543457","1.84899997711182","","117","","167","198","","","0.631229129288984","151.5","47","23","30","74","23","2","1","","","","","","","","","","","","","","6","5"
"Running","Run","10k Ponte Blu - Medio/Lento Svelto","","","2022-06-27","","10043.01953125","","",""," *04/07/2022 Giulio Debarbieri: Ancora un po' stanco da ieri, la riunione tecnica mi ha gasato un po' e sono andato un po' più forte*","0.893767774105072","3.12100005149841","","161","","170","180","","","0.819635338748574","66.32","2","5","22","24","0","0","0","","","","","","","","","","","","","","3","5"
"Running","Run","Lento Govi","","","2022-06-28","","10008.599609375","","",""," *04/07/2022 Giulio Debarbieri: Notte del cavolo stamani demolito*","1.02696442604065","2.70700001716614","","156","","156","175","","","0.74407774216431","63.03","21","30","9","1","0","0","0","","","","","","","","","","","","","","4","3"
"Running","Run","6x1000 tema 4' rec 3' p-c-p","","","2022-06-29","","12521.3095703125","","",""," *04/07/2022 Giulio Debarbieri: Affaticato*","1.1414692401886","3.04699993133545","","145","","168","198","","","0.841137301211972","89.78","20","11","7","8","3","16","4","","","","","","","","","","","","","","6","5"
"Strength","Strength","","","","2022-06-30","","0","","","","","0.474123865365982","0","","","","101","138","","","0.569704556099543","16.73","28","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","Lento Govi - Dopo palestra","","","2022-06-30","","10004.509765625","","","","","1.02841830253601","2.70199990272522","","158","","155","175","","","0.745423910442264","63.34","30","25","6","1","0","0","0","","","","","","","","","","","","","","2","5"
"Strength","Strength","","","","2022-07-01","","0","","","","","0.452327787876129","0","","","","110","147","","","0.58975330328429","17.08","27","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","Lento 10 km - Dopo Palestra","","","2022-07-01","","10028.740234375","","",""," *04/07/2022 Giulio Debarbieri: sento che sto stressando piu del solit il corpo*","0.957047820091248","2.91100001335144","","159","","158","173","","","0.781895567836698","64.76","18","24","15","0","0","0","0","","","","","","","","","","","","","","2","5"
"Running","Run","Salite 2x(3x1' rec 3') rec 5' +5x 20"" rec 1'","","","2022-07-02","","8777.5400390625","","",""," *04/07/2022 Giulio Debarbieri: Tutto bene però ricordati l'acqua se ti vai a perdere su per le vallette genio*","1.05202889442444","2.31800007820129","","133","","153","188","","","0.653427232938751","49.82","28","10","10","11","3","0","0","","","","","","","","","","","","","","4","5"
