"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Strength","Strength","","","","2022-08-08","","0","","","","","0.429532498121262","0","","","","115","144","","","0.600777504828576","16.81","26","0","0","0","0","0","0","","","","","","","","","","","","","","2","5"
"Running","Run","8km Collinare","","","2022-08-08","","8019.97998046875","","",""," *08/08/2022 Giulio Debarbieri: Dopo palestra*","0.693523347377777","3.21199989318848","","171","","167","180","","","0.840749062501039","53.82","1","10","20","10","0","0","0","","","","","","","","","","","","","","3","5"
"Running","Run","8k svelti + tecnica + allunghi","","","2022-08-09","","10209.0400390625","","",""," *09/08/2022 Giulio Debarbieri: Bene*","1.08376002311707","2.61700010299683","","147","","167","182","","","0.765495886567529","70.48","7","15","20","22","0","0","0","","","","","","","","","","","","","","3","5"
"Strength","Strength","","","","2022-08-11","","0","","","","","0.494369447231293","0","","","","108","153","","","0.581486345542495","18.19","30","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","10k svelto + allunghi","","","2022-08-11","","11153.3095703125","","","","","1.00940310955048","3.06900000572205","","159","","173","187","","","0.8218765334322","75.55","2","4","19","32","4","0","0","","","","","","","","","","","","","","3","5"
"Running","Run","Lento Rigenerante Z1 + 6 allunghi","","","2022-08-12","","11290.8095703125","","","","","1.10576367378235","2.83599996566772","","164","","151","182","","","0.727444214789954","64.97","59","3","2","3","0","0","0","","","","","","","","","","","","","","1","5"
"Running","Run","Salite 6 X 20"" + 3k progressione","","","2022-08-13","","8752.919921875","","",""," *13/08/2022 Giulio Debarbieri: Bene, molto arrugginito sui 4'/km*","0.838591396808624","2.8989999294281","","145","","165","198","","","0.765286650715931","54.17","12","16","5","10","4","2","2","","","","","","","","","","","","","","4","5"
"Running","Run","Lento 15k + allunghi","","","2022-08-14","","16165.8798828125","","",""," *14/08/2022 Giulio Debarbieri: Contento, FC in zona 2 e 3*","1.40902888774872","3.18700003623962","","171","","163","182","","","0.824202891303929","106.94","15","39","28","2","0","0","0","","","","","","","","","","","","","","3","3"
